TimesH,Frame,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
39.28,39.28,0.0002,0,0,0.0001,0,0.0002,0,0.0001,6.88E-05,0.0001,0,0,0,0,0.0004,0,0.0003,2.56E-05,0,0,4.91E-05,0,6.29E-05,0.0001,6.19E-05,0,0.0001,0,3.54E-05,1.97E-06,0.0002,0,0.0002,0.0001,0,0,7.37E-05,0,0.0004,0.0003,0.0007,0.0001,1.97E-06,0.0001,0.0001,0.0001,8.85E-06,0.0004,0.0003,4.91E-05,0,0.0001,0,0.0011,0.0008,0.0022,0.0002,0.0006,0.0002,0.0002,0.0001,0.0006,0.0002,0.0005,0,0,9.24E-05,0.0002,0,5.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95E-06,0,0,0,0
39.53,39.53,0.0001,0,0,0,0.0002,0,0.0002,0.0003,0.0003,0.0003,0,0,3.34E-05,9.14E-05,0.0003,0.0002,0.0006,0.0003,0.0002,8.85E-05,0,0.0001,0.0004,0.0003,0.0002,8.85E-06,0.0002,0.0001,3.74E-05,0.0003,0.0003,0.0006,0.0002,0.0004,6.29E-05,3.93E-06,0.0001,0,0.0004,3.24E-05,0.0004,0.0001,0.0002,0,0.0002,0.0002,9.14E-05,0.0004,0.0002,0.0002,0.0001,0.0004,0,0.001,0.0005,0.0014,8.85E-05,0,0,0,0,0.0004,0.0003,0,0,6.88E-05,0,0,0,0,0,0,0,0,0,0,0,3.34E-05,0,0,0,0.0002,0,0,0,0,0,0,0.0002,0,0,2.95E-05,0,0.0002,0,0.0001
39.78,39.78,0.0002,0.0005,0.0002,0.0003,9.53E-05,0.0004,0.0002,0.0004,0.0003,0.0003,3.15E-05,0.0002,0.0002,8.36E-05,0.0003,0.0002,0.0005,0,3.24E-05,0,0,0,0,0.0001,6.09E-05,0.0002,0,0,0,4.42E-05,0.0002,0,5.70E-05,0,0.0001,0,0,0,0,9.93E-05,0.0004,0.0003,0,0.0003,0.0002,0,0.0002,0,0.0004,5.21E-05,9.83E-06,0,7.47E-05,0.0006,0.0007,0.0019,0.0003,0.0003,0.0001,0,0.0002,0.0002,5.80E-05,0,4.42E-05,9.44E-05,9.24E-05,0,0,0,0,0.0001,0,0,0.0001,0,0.0002,1.18E-05,0,4.92E-06,0,0,0,0,0.0002,0,9.14E-05,0,0,0,0,0,0,0,0,0
40.03,40.03,0,0.0001,0,0,0,4.13E-05,0.0002,0,0.0002,0,0,0.0002,0,0.0002,0.0002,0,0.0001,0.0001,0,0,0,3.83E-05,0,9.24E-05,4.13E-05,0.0004,0,0.0003,0,0.0005,7.86E-05,0.0001,0.0004,0.0001,0,0.0002,0,0.0004,0,8.65E-05,0.0004,0.0004,3.74E-05,8.95E-05,0.0004,2.06E-05,0.0001,0.0004,0.0006,0.0003,0.0003,5.60E-05,0.0002,0.001,0.0008,0.0017,0.0003,0.0003,0.0002,8.36E-05,0.0004,0.0005,0.0005,0.0002,3.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.28,40.28,0,0,0,0.0002,0,1.77E-05,3.93E-05,2.06E-05,0.0003,0.0004,0,0.0003,0,0.0004,0.0006,0.0004,0.0003,9.93E-05,0.0001,3.24E-05,0,0.0002,0.0002,0.0007,0.0001,0.0002,0,0.0003,0.0008,0.0003,0.0002,0.0002,0.0003,0.0004,0.0002,0,0.0003,0.0001,8.85E-06,0.0001,0.0003,0.0001,0,0,0.0002,0,7.77E-05,8.06E-05,0.0001,0.0002,0,0,2.16E-05,0.001,0.0004,0.0014,0,0.0002,0,0,0.0002,0.0003,0.0002,0,0,0,0,0,2.06E-05,0,0.0001,0,0,9.44E-05,0.0001,0,0,8.85E-06,0,2.95E-06,0,0,0,5.41E-05,0,0.0002,0,0.0001,0.0003,0,0,0.0002,0,0,0,9.83E-07
40.53,40.53,0.0002,6.19E-05,6.49E-05,0.0003,1.47E-05,0.0002,8.55E-05,0.0003,0.0004,9.24E-05,0,0.0001,0,0.0003,0.0006,0.0003,0.0005,0,0,0.0004,0,2.06E-05,0,2.95E-05,0,0.0003,0,0,0,0.0002,0.0003,0,0.0002,8.06E-05,0.0002,0,0,0.0002,1.57E-05,0.0002,0.0004,0.0004,0.0001,0,0.0003,1.97E-05,5.21E-05,0.0002,0.0004,0.0003,0.0001,0,4.13E-05,0.0011,0.0008,0.0021,0.0004,0.0001,0.0002,3.44E-05,0.0002,0.0002,0.0005,0,2.26E-05,0,0.0001,0,0.0003,6.78E-05,0.0002,0,0,0,2.26E-05,0,7.86E-05,0,1.77E-05,0,0,0,0,0,0,0,0,3.83E-05,0,0,6.29E-05,0,0,0,0,0
40.78,40.78,0,0,0,0,0,0,0.0003,0,0.0001,0.0004,0,0,4.03E-05,0.0002,0.0001,0.0001,6.78E-05,0.0004,0,5.60E-05,0,0.0002,5.60E-05,4.13E-05,0.0002,0.0004,8.85E-05,0.0002,0,0.0003,0.0003,0.0002,0.0002,0.0003,7.57E-05,0,0,0.0005,3.83E-05,0.0001,0.0003,0.0004,0,0.0007,0.0003,0.0003,0.0002,0.0002,0.0005,0.0002,0.0002,0.0001,0.0001,0.001,0.0008,0.0021,0,0,0,0.0003,8.95E-05,0.0011,0.0007,2.95E-06,0,0,0,5.90E-06,0,0,0,0,0,0,0,8.26E-05,0,0,0,0,0,0,0,0,0,0,0,3.15E-05,0,0,0,0,0,0,0,0
41.03,41.03,0.0002,0.0002,5.41E-05,0.0001,0.0001,0.0001,1.47E-05,0.0002,0.0004,0.0003,0.0002,0,0.0002,0.0003,0.0005,0.0003,0.0005,0.0002,0.0002,7.77E-05,8.16E-05,0.0002,0.0003,0.0001,0.0002,0.0002,0.0002,1.57E-05,0.0002,0.0004,0.0004,7.96E-05,0.0004,0,0.0004,9.34E-05,0,0.0001,0,5.60E-05,0.0003,0.0003,7.37E-05,0,0,0,0.0001,0,0,0.0005,5.21E-05,0,0,0.0008,0.0009,0.0016,0,9.83E-07,0,0,0,0.0005,0.0002,0,0.0001,0,6.98E-05,0,0,0,0,0,0.0004,0,0,0,0,0,0,8.16E-05,0,6.88E-05,3.54E-05,0,0.0001,0,5.90E-06,0,7.96E-05,0,5.01E-05,5.21E-05,0,0,0,0
41.28,41.28,0.0003,0.0001,0,8.95E-05,3.34E-05,6.19E-05,0.0005,0.0005,0.0004,0.0002,0,0,0,0.0002,0.0004,0.0005,9.04E-05,0.0002,0,0,0,0,0,0,0.0002,0,0,0,0,0.0002,0,3.93E-05,0,0.0004,0,0.0002,0,0,0.0005,2.46E-05,0.0002,0.0003,0,0,0,6.98E-05,0,0.0002,0.0002,0.0002,0,0,3.83E-05,0.0012,0.0009,0.0022,0.0003,0.0004,2.16E-05,0,0,0.0005,0.0004,0,0,0,3.54E-05,0,6.09E-05,0,0,0,8.65E-05,0,9.93E-05,0,7.86E-05,0,0,7.27E-05,0,0.0003,0,5.41E-05,0.0001,0,4.03E-05,0,0,0,0,0,0,0,0,0
41.53,41.53,3.05E-05,0.0002,0.0002,0,0,9.24E-05,0.0002,1.97E-06,0.0006,0.0001,0,0.0001,0,9.14E-05,0.0002,0.0003,6.29E-05,0,0,3.05E-05,0,0.0002,0,0,0,0.0002,1.77E-05,0.0002,0,0.0002,8.95E-05,0.0003,0.0002,0.0001,0,0.0004,8.55E-05,0.0005,0,0.0002,0.0005,0.0004,4.91E-05,0.0003,4.13E-05,0.0001,0.0004,0.0002,0.0006,0.0003,0.0004,0.0002,6.98E-05,0.0011,0.0011,0.002,9.24E-05,0.0002,7.18E-05,0.0002,0,0.0006,0.0004,4.03E-05,0,0,0,7.77E-05,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13E-05,0,0.0001,0,0.0003,0.0002,0,2.85E-05,0
41.78,41.78,0.0005,0,0.0003,0,0.0003,6.29E-05,8.65E-05,0.0003,0.0005,0.0002,0.0002,2.16E-05,9.44E-05,0,0.0005,0.0002,0.0005,0.0004,0,1.97E-06,0.0004,0,0.0005,9.63E-05,0.0003,0.0003,0.0002,0,0.0002,0.0006,0.0003,0.0002,0.0004,6.88E-05,0.0003,0,9.83E-06,0.0001,0,0,0.0007,0,1.18E-05,0,0,0.0001,0,0.0002,0.0002,0.0002,0,0.0001,0,0.0008,0.0008,0.0019,0.0002,0.0003,9.04E-05,0,1.28E-05,0.0002,5.60E-05,0,0,0,0,0,0,0,0,6.49E-05,0,2.75E-05,0,1.87E-05,0,0.0002,0,0,3.83E-05,0,3.64E-05,0,0.0003,0,8.45E-05,0,6.78E-05,0,1.28E-05,0,0.0002,0,0.0001,0
42.03,42.03,0.0001,0.0002,0.0002,9.83E-07,0.0004,6.09E-05,7.86E-05,7.77E-05,0.0003,0,0,0,0,0.0003,3.34E-05,0.0004,0.0003,0.0002,0,0,0,0,0.0001,0,0,0,0,0,0,0,0.0001,5.70E-05,3.64E-05,0.0004,0,0,0,7.47E-05,3.05E-05,0,0.0004,0.0004,0,0.0002,0,0.0003,0,0.0003,0.0001,6.39E-05,0,0.0004,0,0.0012,0.0005,0.0022,0.0003,0.0004,0.0005,0.0001,0.0001,0.0004,0.0004,0.0001,0.0001,0,0.0002,9.34E-05,0.0004,0.0002,0,0.0006,0.0001,0,3.74E-05,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0004,0
42.28,42.28,0,0,0,4.62E-05,0,0.0003,0,0.0004,0.0002,0.0001,0,0.0001,0,0.0006,0,0.0001,5.01E-05,0.0001,0.0002,0,0,0,0.0001,0.0004,0.0002,0.0001,9.44E-05,0.0001,0.0002,5.70E-05,0.0004,0,0.0001,0.0002,0.0003,6.19E-05,0.0002,0.0004,5.80E-05,0.0006,0.0006,0.0006,0.0002,0.0003,0.0004,4.42E-05,0.0004,0.0002,0.0003,0.0003,0.0002,5.01E-05,2.36E-05,0.0013,0.0007,0.0023,8.95E-05,9.53E-05,0,6.09E-05,0,0.0004,0.0001,8.95E-05,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08E-05,0,0,0,0,0,0,0,0,4.91E-05,5.80E-05,0,2.95E-05,0,0
42.53,42.53,0.0003,0.0001,0,0.0002,2.46E-05,0.0003,9.73E-05,0.0002,0.0003,0.0004,0.0005,0,0.0002,0.0003,0.0006,0.0005,0.0009,0.0001,0.0001,0.0005,0,0.0002,5.90E-05,0.0002,4.33E-05,2.65E-05,0,0,0,0.0001,0.0004,0.0001,0.0003,0.0002,0,0,0,0,0,0.0001,0.0005,0.0001,0,0,9.34E-05,0,0,0,0.0001,0,0,0,0.0001,0.0011,0.0005,0.0021,0.0002,0.0003,0.0003,3.93E-05,0,0.0003,0.0003,0,0,0,0,0,0,0,0,6.68E-05,0,0.0002,0,7.77E-05,0,7.47E-05,0.0001,0,4.42E-05,0,9.14E-05,0.0002,0,0,0,2.46E-05,0,1.18E-05,0,6.29E-05,0,0,6.29E-05,0
42.78,42.78,0.0004,0.0001,0,0,0,0.0001,0.0001,4.62E-05,0.0003,1.97E-05,1.38E-05,0,0,1.97E-06,0.0004,9.93E-05,0.0003,0.0001,0,0,0,0,0,0,0.0003,0,9.83E-06,0,0,0.0002,0.0001,0.0002,0,0.0003,0,0,0.0004,0.0001,0.0002,0.0002,0.0006,0.0003,0.0002,0.0002,0.0002,2.85E-05,6.88E-06,0.0005,0.0004,0.0006,0,0.0002,0.0002,0.0016,0.0009,0.0022,0.0003,0.0004,0.0002,3.74E-05,0,0.0006,0.0004,0.0001,0,0.0001,0,0,0.0001,0,0.0001,0,2.46E-05,0,2.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15E-05,0,0
43.03,43.03,0.0002,6.59E-05,0,0,9.83E-06,0,0.0003,7.86E-05,0.0002,0.0005,0.0002,2.85E-05,0,0.0002,0.0002,0.0001,0.0007,0,0.0001,1.67E-05,0,0.0002,0.0002,0.0003,0,0.0005,0,0.0001,0.0001,0.0002,0.0003,0.0001,0.0005,0.0002,0.0001,0.0001,0.0002,0.0002,0.0001,8.75E-05,0.0003,0.0005,0.0002,0.0002,0.0004,0.0001,0.0002,0.0003,0.0003,5.70E-05,0.0002,0,8.26E-05,0.0009,0.0009,0.002,0,0.0002,0,4.62E-05,0.0001,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18E-05,0,0,0,0.0001,0,0,0,0.0001,0,0.0002,0,4.42E-05,0
43.28,43.28,0.0004,0.0002,0.0003,0,0.0004,0.0002,0.0003,0.0004,0.0005,0.0004,0.0003,0,0.0002,8.26E-05,0.0006,0.0003,0.0005,0.0002,0.0003,4.52E-05,0.0002,9.93E-05,0.0002,0.0002,0.0002,0.0015,0,3.93E-06,0.0001,0.0001,4.42E-05,1.77E-05,7.47E-05,5.11E-05,0.0003,0,0,0.0001,0,0.0001,0.0004,0.0004,4.62E-05,0,0,1.28E-05,0,7.96E-05,0.0003,1.18E-05,2.75E-05,0,0.0001,0.0011,0.0008,0.0026,0.0004,0.0003,0.0004,0,0.0003,0.0005,0.0004,7.86E-05,6.68E-05,0.0002,0,6.98E-05,0,0,2.75E-05,0,0,0,3.54E-05,0.0003,0,0.0001,0,0.0001,0,3.93E-06,4.13E-05,9.34E-05,8.06E-05,0.0002,0,0.0001,0,0,7.86E-06,0,0.0003,0.0003,0,0
43.53,43.53,0.0002,0,4.92E-06,0,0,0.0002,0,0.0001,0.0002,0.0001,0,0,0,6.88E-05,0.0005,0.0001,0.0005,0,0,0,0,0,0,0.0001,0.0003,0.0003,9.63E-05,0,8.55E-05,0.0005,0.0005,0,0.0004,0.0001,7.67E-05,4.52E-05,0.0001,0.0002,0.0004,0.0002,0.0007,0.0002,0.0004,9.44E-05,0.0001,0.0003,0,0.0005,0.0005,0.0004,0.0003,9.83E-06,7.67E-05,0.0014,0.001,0.0028,0.0005,0.0004,0.0003,5.50E-05,0.0001,0.0005,0.0009,0.0004,0,5.21E-05,0,0,7.86E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0
43.78,43.78,0.0002,0,4.62E-05,0,0.0002,0.0003,0,0.0004,0.0005,0.0003,0.0001,8.75E-05,0.0002,0,0.0004,0.0002,0.0008,0.0002,0.0002,8.36E-05,0.0001,0.0002,3.15E-05,0.0006,0.0002,0.0004,0.0002,0,0.0004,0.0003,0.0003,0.0001,0.0004,0.0005,0.0002,0,0,0.0005,7.47E-05,0.0002,0.0003,6.19E-05,0,0,0.0002,0.0001,0.0002,0.0003,0.0003,0,0,1.38E-05,0,0.001,0.0008,0.0027,0,8.95E-05,0,4.03E-05,0,0.0006,0.0003,0,0,0,0,0,0,0,0,5.90E-05,0,7.86E-06,0,2.75E-05,0,4.13E-05,0,0,9.63E-05,0.0002,2.75E-05,0,0,0.0003,0,7.27E-05,0.0005,0,0.0002,0,4.82E-05,0,0,2.95E-05
44.03,44.03,0.0003,0.0002,0.0001,0.0002,0.0002,0.0004,0.0007,5.31E-05,0.0005,0.0002,2.16E-05,0,6.00E-05,0.0001,0.0004,0.0004,0.0002,7.37E-05,0,3.64E-05,0,0,0.0001,2.46E-05,5.21E-05,0.0002,0.0002,0,0,0.0002,3.93E-05,7.08E-05,0.0003,0.0002,0,0.0002,0,0.0005,0.0003,0.0002,0.0006,0.0004,0,0.0004,0,7.47E-05,6.78E-05,0.0003,0.0004,9.53E-05,0.0003,0.0001,0,0.0015,0.0007,0.0029,0.0004,0.0005,8.95E-05,0.0003,0.0003,0.0007,0.0006,3.24E-05,3.15E-05,0,0,0,0,0,0.0001,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0,0,0,0,0
44.28,44.28,9.34E-05,0,6.19E-05,0,0,8.36E-05,0.0001,0.0005,0.0005,0.0001,0.0003,0,0.0001,0.0001,0.0005,8.26E-05,0.0009,0.0001,1.47E-05,0.0001,0.0002,8.36E-05,0.0002,8.75E-05,0.0007,9.24E-05,0.0003,0.0001,6.88E-06,0.0002,0.001,0.0004,0.0004,0.0005,0.0003,0.0001,2.85E-05,0.0003,0.0004,0.0003,0.0007,0.0004,0.0003,0.0003,0.0001,0.0005,6.68E-05,0.0006,0.0005,0.0002,0,0.0001,9.44E-05,0.0013,0.001,0.0025,0.0002,0.0004,0,2.46E-05,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97E-05,0,0,0,0,0,0,0,0,0,0.0001,0,0.0003,0.0003,0.0001,0,9.73E-05
44.53,44.53,0.0004,4.33E-05,0,0.0002,0.0002,0.0005,0.0004,0.0007,0.0004,0.0004,0.0003,0.0003,0.0003,0.0002,0.0004,0.0005,0.0006,0.0003,0,0.0002,0,0.0002,4.03E-05,0.0003,2.65E-05,8.16E-05,0,4.82E-05,0,0.0003,0.0002,0.0002,0.0002,1.47E-05,0.0002,0,0,0.0004,0,0,0.0002,0.0001,0,0.0002,0.0003,0,0.0003,0.0002,0.0001,0,0,0.0002,0,0.0012,0.0009,0.0024,0.0002,0.0004,0,0.0002,0,0.0007,0.0005,0.0002,0,0,7.37E-05,0.0002,0,0,5.11E-05,0.0002,7.86E-06,3.05E-05,0,0,0,0,4.13E-05,7.37E-05,0.0002,0.0001,4.03E-05,0,0.0003,0.0001,0,2.56E-05,0,0,9.83E-05,0,2.16E-05,9.24E-05,7.47E-05,0
44.78,44.78,0.0002,4.23E-05,0.0004,0,0.0001,8.36E-05,0.0002,3.05E-05,0.0002,0.0003,0,4.92E-06,0,1.77E-05,0.0003,0.0004,0.0002,0.0001,0,0,0,0,2.75E-05,0.0004,0.0005,0.0003,0,0,0,9.63E-05,0.0005,0,0.0002,0.0002,0.0004,0,0,0.0002,0.0001,0.0004,0.0009,0.0002,0.0003,0.0001,0.0005,0.0003,0.0003,0.0004,0.0004,0.0005,7.47E-05,0.0001,0.0001,0.0015,0.0013,0.0027,0.0005,0.0004,0.0003,0.0009,0,0.0005,0.0004,0.0003,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19E-05,0,0,0,0,0,0
45.03,45.03,0.0002,0,0.0003,0,0.0001,0.0002,0.0004,0.0004,0.0005,0.0004,5.41E-05,0.0001,6.98E-05,0.0003,0.0009,5.21E-05,0.0006,9.44E-05,0.0001,0,0.0005,0,0.0004,0.0004,0.0004,0.0002,0.0002,0.0002,0.0001,0.0004,0.0004,0.0001,0.0002,0.0003,0.0002,0.0002,0.0002,0.0002,0.0004,0.0005,0.0008,0.0005,0.0005,0.0002,0.0004,0.0003,0.0001,0.0005,0.0003,0.0004,0,0,2.75E-05,0.0013,0.0008,0.0027,0.0007,0.0003,8.16E-05,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,1.08E-05,0,0,0,0,0,0,1.28E-05,0,5.31E-05,0,5.21E-05,0,0,0,0.0003,0,6.09E-05,0,0,0,0
45.28,45.28,0.0004,0.0003,2.16E-05,0.0001,0.0002,0.0003,0.0003,0.0007,0.0005,0.0006,0.0004,0.0006,0.0003,0.0003,0.0007,0.0004,0.0006,5.41E-05,0,0,0,0.0002,5.70E-05,0.0003,6.00E-05,9.34E-05,0,0,0,0.0003,0.0003,0,0.0003,0.0003,6.00E-05,0,2.56E-05,0.0002,0,0.0003,0.0002,0.0002,0,0.0002,0.0001,0,6.78E-05,0.0003,0.0004,0.0001,0.0001,4.42E-05,0,0.0017,0.0011,0.0034,0.0005,0.0004,0.0002,0,0.0003,0.0007,0.0005,2.65E-05,0,0,0,0,0,0,8.65E-05,0,0.0002,0.0001,0,0,0,6.98E-05,0,0,0,0.0002,7.86E-05,0.0004,0,7.47E-05,0,0.0001,0,0.0001,0,0.0002,0,4.72E-05,7.67E-05,0
45.53,45.53,0.0005,4.72E-05,0,0,0,0.0001,0,0.0005,0.0002,0.0004,0,0,0,0.0002,0.0005,0.0002,0.0007,0,0,0,6.88E-06,0,0,0.0001,5.60E-05,3.93E-05,0.0001,0,4.92E-06,0.0002,0.0005,0,0.0002,0.0003,0.0002,0,0.0001,0.0003,0.0003,0.0002,0.0009,0.0005,0.0003,0.0001,0.0004,0.0002,0.0004,0.0001,0.0003,0.0006,0.0003,0.0002,0.0002,0.0018,0.0011,0.0029,0.0006,0.0002,0.0004,5.90E-06,0,0.0009,0.0003,0.0003,0,7.96E-05,5.01E-05,0.0002,0,0.0002,0.0001,3.83E-05,0,0,0,0.0001,0,0,0,9.04E-05,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05E-05,0
45.78,45.78,0.0001,0,0.0001,0,1.97E-05,0.0002,0.0001,0.0004,0.0003,0.0004,0.0002,0.0003,0,0.0004,0.0005,0.0004,0.0007,0.0001,0,0,0,0.0003,0,0.0006,0.0005,0.0004,0,0.0003,0.0001,0.0003,0.0007,0.0002,0.0003,0.0005,0.0004,0.0002,0,0.0006,9.04E-05,0.0004,0.0006,0.0007,0.0002,0.0002,0.0006,0.0008,0.0001,0.0002,0.0006,0.0002,0.0005,0.0002,0.0003,0.0015,0.0014,0.0033,0.0003,7.86E-06,0.0003,9.93E-05,0.0002,0.0004,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91E-05,0,1.97E-06,0
46.03,46.03,0.0005,0.0002,0.0003,0,0.0002,1.67E-05,0.0004,0.0002,0.0008,0.0003,0.0004,7.08E-05,0.0001,0.0004,0.0008,0.0009,0.0006,0.0002,0.0002,9.53E-05,0.0004,0.0002,0.0004,0.0004,0.0007,0.0001,0.0002,0.0003,0.0003,0.0004,0.0006,0.0006,0.0004,0.0005,4.91E-05,0,0.0002,0.0003,0.0004,9.73E-05,0.0004,9.14E-05,1.57E-05,2.95E-05,0,0.0002,0.0002,0.0004,0.0002,0.0002,2.85E-05,0,0,0.0012,0.0012,0.0029,0.0004,0.0003,0.0006,0,0,0.0005,0.0004,2.95E-05,0,0,0,0,0,0,0,0,0,0,0,5.90E-06,0,0.0001,0,0,6.88E-06,0,0.0012,6.88E-06,0.0001,0,0,5.11E-05,0,0,0,0,4.72E-05,0,0.0002,0
46.28,46.28,0.0005,0.0003,0.0004,8.85E-06,0.0002,0.0003,0.0003,0.0006,0.0004,0,0.001,6.49E-05,0,0.0004,0.0007,0.0004,0.0003,0.0002,0.0002,9.04E-05,0,0,0.0002,6.19E-05,0.0004,0,0,0,0,0.0003,0.0002,0.0002,6.98E-05,0.0003,0,0,7.27E-05,9.34E-05,0.0002,8.26E-05,0.0006,0.0006,5.60E-05,0.0006,6.68E-05,0.0004,0,0.0004,0.0003,0.0003,0.0001,3.93E-05,0,0.0017,0.0011,0.0038,0.0005,0.0005,0.0002,0.0002,0.0001,0.0009,0.0003,5.31E-05,7.57E-05,0,1.28E-05,0,0,0.0002,0,0.0003,0,0.0001,0,8.36E-05,7.67E-05,0,0.0002,0,6.59E-05,0,0,4.13E-05,0,4.91E-05,0,0.0002,0,0,0,0,0,7.08E-05,5.90E-05,0
46.53,46.53,0.0004,0,2.85E-05,0,0.0004,0,0.0002,0.0005,0.0006,0.0006,0,0,0,0.0001,0.0005,0.0006,0.0008,0,0,8.36E-05,0,0,0,0.0003,0.0004,0.0003,0.0003,0.0001,7.27E-05,0.0002,0.0002,0.0002,0.0007,0.0002,0.0001,0,6.29E-05,0.0004,0.0002,0.0002,0.0008,0.0003,0.0003,0.0003,0.0004,0.0003,6.88E-06,0.0005,0.0004,0.0007,7.37E-05,2.95E-05,7.77E-05,0.0017,0.0011,0.0036,0.0012,0.0005,0.0003,0.0002,0.0003,0.0009,0.0003,0.0003,0,0,0,0.0001,0,0.0003,8.45E-05,0,0.0002,0,0,0.0004,0,0.0002,0.0007,0,3.15E-05,9.14E-05,0,0.0002,0,7.67E-05,9.44E-05,5.01E-05,0,0,0.0001,0,0,0,0,0.0001
46.78,46.78,0.0002,0,0,5.90E-06,0,0.0002,0.0005,0.0002,0.0006,0.0005,0,0.0001,0,0.0003,0.0005,0.0005,0.0004,0.0002,3.34E-05,2.85E-05,2.85E-05,4.52E-05,0.0001,0.0004,0.0004,0.0004,0,0.0003,0,0.0004,0.0004,3.64E-05,0.0007,0.0003,0.0004,2.36E-05,0,0.0004,0.0004,0.0006,0.0006,0.0005,0.0005,0.0006,0.0005,0.0003,0.0003,0.0004,0.0005,0.0004,0.0003,0,0.0003,0.0017,0.0013,0.0039,0.0006,0.0002,0.0007,0,0.0004,0.0009,0.0006,0.0002,0,0,5.90E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96E-05,0,0,0,0,0,0,0,0,0,0.0003,0,0
47.03,47.03,6.88E-06,0.0002,0,6.59E-05,0.0002,0.0001,0.0003,0.0002,0.0004,0.0006,0.0001,0.0002,0,0.0004,0.0005,0.0005,0.0003,0.0003,6.49E-05,0.0004,0.0001,0.0003,0.0005,0.0004,0.0005,0.0005,0,0.0005,1.47E-05,0.0006,0.0003,0.0003,0.0005,0.0007,0.0002,0.0002,8.85E-05,0.0004,0.0003,0.0004,0.0008,0.001,0.0006,0.0003,0.0002,0.0003,0.0004,0.0005,0.0007,0.0003,0.0004,4.82E-05,0.0002,0.0019,0.0009,0.0041,0.0004,0.0006,0.0003,0.0004,0.0002,0.0007,0.0008,2.95E-05,7.77E-05,0.0006,5.90E-05,0,4.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28E-05,0,0,0,0,0,0,0
47.28,47.28,0.0002,0.0001,0.0001,0.0002,5.90E-06,0.0003,0.0003,0.0006,0.0008,0.0005,0.0002,0.0003,0.0002,0.0005,0.0006,0.0002,0.0012,0.0005,0.0002,0.0003,0.0004,0,0.0004,0.0002,0.0005,9.44E-05,0.0003,0.0002,0.0001,0.0008,0.0005,0.0005,0.0006,0.0006,7.77E-05,7.86E-05,0.0003,0.0003,0.0002,0.0003,0.0005,0.0002,0.0002,8.55E-05,0.0001,0.0003,0.0002,0.0004,0.0003,0.0001,0,3.74E-05,0,0.0017,0.0011,0.0034,0.0003,0.0004,3.24E-05,0,0,0.001,0.0001,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0.0003,0,0,0,2.06E-05,0,0
47.53,47.53,0.0006,0.0004,0,0.0004,6.00E-05,0.0006,0.0002,0.0009,0.0009,0.0006,0.0003,0.0004,0.0002,0.0003,0.001,0.0008,0.0008,0.0004,0.0004,4.23E-05,0.0003,0.0002,0.0002,0.0005,0.0002,0.0002,0,0,0.0008,0.0004,0.0006,0.0002,0,0.0002,0.0002,0,0.0001,0.0001,0,0.0002,0.0007,0.0005,0.0002,0.0001,0.0004,0,0,0.0004,0.0006,0.0001,0.0001,0,5.01E-05,0.0021,0.0013,0.0038,0.0003,0.0005,0.0004,0.0002,0.0001,0.0009,0.0006,3.74E-05,1.77E-05,0.0001,1.47E-05,0,0,0,0,0,0.0003,0,3.24E-05,8.85E-06,0.0002,0,6.49E-05,2.65E-05,0,0,0,0,0,0,3.64E-05,0,0,0,0,0,0,0,0,0
